"GSE","suppl_exists","suppl_empty","has_filelist","has_BPM","decision","reason"
"GSE36238",TRUE,FALSE,TRUE,FALSE,"keep","no_BPM_suppl_nonempty"
"GSE37816",TRUE,FALSE,TRUE,FALSE,"keep","no_BPM_suppl_nonempty"
"GSE37837",TRUE,FALSE,TRUE,FALSE,"keep","no_BPM_suppl_nonempty"
"GSE38396",TRUE,FALSE,TRUE,FALSE,"keep","no_BPM_suppl_nonempty"
"GSE38860",TRUE,FALSE,TRUE,FALSE,"keep","no_BPM_suppl_nonempty"
"GSE39281",TRUE,FALSE,TRUE,FALSE,"keep","no_BPM_suppl_nonempty"
"GSE39340",TRUE,FALSE,TRUE,FALSE,"keep","no_BPM_suppl_nonempty"
"GSE40355",TRUE,FALSE,TRUE,FALSE,"keep","no_BPM_suppl_nonempty"
"GSE41657",TRUE,FALSE,TRUE,FALSE,"keep","no_BPM_suppl_nonempty"
"GSE41662",TRUE,FALSE,TRUE,FALSE,"keep","no_BPM_suppl_nonempty"
"GSE41664",TRUE,FALSE,TRUE,FALSE,"keep","no_BPM_suppl_nonempty"
"GSE42834",TRUE,FALSE,TRUE,FALSE,"keep","no_BPM_suppl_nonempty"
"GSE43256",TRUE,FALSE,TRUE,FALSE,"keep","no_BPM_suppl_nonempty"
"GSE43378",TRUE,FALSE,TRUE,FALSE,"keep","no_BPM_suppl_nonempty"
"GSE43696",TRUE,FALSE,TRUE,FALSE,"keep","no_BPM_suppl_nonempty"
"GSE43974",TRUE,FALSE,TRUE,FALSE,"keep","no_BPM_suppl_nonempty"
"GSE44295",TRUE,FALSE,TRUE,FALSE,"keep","no_BPM_suppl_nonempty"
"GSE44314",TRUE,FALSE,TRUE,FALSE,"keep","no_BPM_suppl_nonempty"
"GSE44711",TRUE,FALSE,TRUE,FALSE,"keep","no_BPM_suppl_nonempty"
"GSE45001",TRUE,FALSE,TRUE,FALSE,"keep","no_BPM_suppl_nonempty"
"GSE45603",TRUE,FALSE,TRUE,FALSE,"keep","no_BPM_suppl_nonempty"
"GSE47472",TRUE,FALSE,TRUE,FALSE,"keep","no_BPM_suppl_nonempty"
"GSE49515",TRUE,FALSE,TRUE,FALSE,"keep","no_BPM_suppl_nonempty"
"GSE51588",TRUE,FALSE,TRUE,FALSE,"keep","no_BPM_suppl_nonempty"
"GSE52093",TRUE,FALSE,TRUE,FALSE,"keep","no_BPM_suppl_nonempty"
"GSE53552",TRUE,FALSE,TRUE,FALSE,"keep","no_BPM_suppl_nonempty"
"GSE54236",TRUE,FALSE,TRUE,FALSE,"keep","no_BPM_suppl_nonempty"
"GSE54388",TRUE,FALSE,TRUE,FALSE,"keep","no_BPM_suppl_nonempty"
"GSE54536",TRUE,FALSE,TRUE,FALSE,"keep","no_BPM_suppl_nonempty"
"GSE54618",TRUE,FALSE,TRUE,FALSE,"keep","no_BPM_suppl_nonempty"
"GSE54837",TRUE,FALSE,TRUE,FALSE,"keep","no_BPM_suppl_nonempty"
